Ranking 2026,Country,Total,Anti-Discrimination Legislation,Marriage / Civil Partnership,Adoption Allowed,Transgender Rights,Intersex / 3rd Option,Equal Age of Consent,Conversion Therapy,LGBT Marketing,Religious Influence,HIV Travel Restrictions,Anti-Gay Laws,Homosexuality Illegal,Pride Banned,Censorship,Locals Hostile,Prosecution,Murders,Death Sentences
110,Guinea-Bissau,-7,1,-1,0,-1,-1,0,-1,0,-1,0,-1,0,0,0,-2,0,0,0
110,Honduras,-7,2,-1,0,-1,-1,0,-1,0,-1,0,-1,0,0,0,-2,0,-1,0
110,Laos,-7,0,-1,-1,-1,-1,0,-1,0,0,0,-1,0,0,0,-1,0,0,0
110,Mozambique,-7,0,-1,0,0,-1,0,-1,0,-1,0,-1,0,0,-1,-1,0,0,0
110,Saint Kitts and Nevis,-7,0,0,0,-1,-1,0,-1,0,-1,-1,0,0,0,0,-2,0,0,0
110,Saint Lucia,-7,1,-1,0,-1,-1,0,-1,0,-1,0,-1,0,0,0,-2,0,0,0
110,Venezuela,-7,1,-1,0,0,-1,0,-1,0,-1,0,-1,0,0,0,0,-1,-2,0
119,Benin,-8,0,-1,0,-1,-1,-1,-1,0,0,0,-1,0,0,0,-2,0,0,0
119,Kiribati,-8,1,-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,0,0,-1,0,0,0
119,Palau,-8,0,-1,0,-1,-1,0,-1,0,-1,0,-1,0,0,0,-2,0,0,0
119,Philippines,-8,0,-1,0,-1,-1,0,-1,0,0,-1,-1,0,0,-1,0,0,-1,0
123,Dominican Republic,-9,3,-1,-1,-1,-1,0,-1,0,-2,0,-1,0,0,0,-2,0,-2,0
123,Ethiopia,-9,0,-1,0,2,-1,0,-1,0,-2,0,-1,-1,0,-2,-1,-1,0,0
123,Gabon,-9,0,-1,0,-1,-1,-1,-1,0,-1,0,-1,0,0,0,-2,0,0,0
123,Guinea,-9,0,-1,0,-1,-1,0,-1,0,-1,0,-1,-1,0,0,-1,-1,0,0
123,Hungary,-9,1,1,-1,-1,-1,0,-1,0,0,-1,-1,0,-1,-2,-1,-1,0,0
123,Nicaragua,-9,1,-1,-1,-1,-1,0,-1,0,-1,0,-1,0,0,0,-1,-1,-1,0
123,Pakistan,-9,0,-1,-1,3,1,0,-1,0,-2,0,-1,-1,0,-1,-2,-1,-1,-1
123,Tuvalu,-9,1,-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,0,0,-2,0,0,0
123,Vanuatu,-9,0,-1,0,-1,-1,0,-1,0,-1,-1,-1,0,0,0,-2,0,0,0
