Ranking 2026;Country;ISO3;Total;Anti-Discrimination Legislation;Marriage / Civil Partnership;Adoption Allowed;Transgender Rights;Intersex / 3rd Option;Equal Age of Consent;Conversion Therapy;LGBT Marketing;Religious Influence;HIV Travel Restrictions;Anti-Gay Laws;Homosexuality Illegal;Pride Banned;Censorship;Locals Hostile;Prosecution;Murders;Death Sentences;col;row
15;Greece;GRC;9;2;2;2;3;1;0;1;0;-1;0;0;0;0;0;-1;0;0;0;16;8
15;Greenland;GRL;9;2;2;2;3;1;0;-1;0;0;0;0;0;0;0;0;0;0;0;8;0
15;Luxembourg;LUX;9;3;2;2;3;-1;0;-1;1;0;0;0;0;0;0;0;0;0;0;13;5
15;Netherlands;NLD;9;3;2;2;2;1;0;-1;0;0;0;0;0;0;0;0;0;0;0;13;3
15;New Caledonia;NCL;9;2;2;2;3;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;30;19
15;Sweden;SWE;9;3;2;2;3;-1;0;-1;1;0;0;0;0;0;0;0;0;0;0;16;0
28;Ireland;IRL;8;2;2;2;3;-1;0;-1;1;0;0;0;0;0;0;0;0;0;0;10;2
28;Reunion;REU;8;2;2;2;3;-1;0;1;0;0;0;0;0;0;0;-1;0;0;0;20;18
28;Taiwan;TWN;8;3;2;2;1;-1;0;1;1;0;0;0;0;0;0;-1;0;0;0;27;5
31;India;IND;7;3;1;1;2;1;0;0;0;-1;0;0;0;0;0;0;0;0;0;23;8
32;Andorra;AND;6;3;2;2;1;-1;0;-1;0;0;0;0;0;0;0;0;0;0;0;11;6
32;Argentina;ARG;6;1;2;2;1;1;0;1;1;-1;0;0;0;0;0;-1;0;-1;0;5;12
32;Brazil;BRA;6;2;2;2;1;1;0;1;1;-1;0;0;0;0;0;-1;0;-2;0;7;9
32;Gibraltar;GIB;6;2;2;2;2;-1;0;-1;0;0;0;0;0;0;0;0;0;0;0;10;6
32;Guadeloupe;GLP;6;2;2;2;3;-1;0;1;0;-1;0;0;0;0;0;-2;0;0;0;8;7
32;Martinique;MTQ;6;2;2;2;3;-1;0;1;0;-1;0;0;0;0;0;-2;0;0;0;8;8
32;Mexico;MEX;6;3;2;1;2;0;0;1;1;-1;0;0;0;0;0;-1;0;-2;0;0;2
32;Nepal;NPL;6;3;0;1;3;1;0;-1;0;0;0;0;0;0;0;-1;0;0;0;24;8
32;United Kingdom;GBR;6;2;2;2;1;-1;0;0;1;0;0;0;0;0;0;-1;0;0;0;11;2
41;Costa Rica;CRI;5;2;2;2;1;1;0;-1;0;-1;0;0;0;0;0;-1;0;0;0;2;6
41;Ecuador;ECU;5;3;2;0;3;-1;0;1;0;-1;0;0;0;0;0;-1;0;-1;0;4;9
41;Estonia;EST;5;2;2;2;2;-1;0;-1;0;0;0;0;0;0;0;-1;0;0;0;17;1
41;Israel;ISR;5;2;1;2;2;-1;0;1;0;-1;0;0;0;0;0;-1;0;0;0;19;9
41;Puerto Rico;PRI;5;1;2;2;1;1;0;1;0;-1;0;0;0;0;0;0;0;-2;0;6;5
41;Slovenia;SVN;5;3;2;2;2;-1;0;-1;0;-1;0;0;0;0;0;-1;0;0;0;14;5
47;Aruba;ABW;4;1;2;0;3;-1;0;-1;1;0;0;0;0;0;0;-1;0;0;0;4;4
47;Bolivia;BOL;4;3;1;1;2;-1;0;1;0;-1;0;0;0;0;0;-1;0;-1;0;5;9
47;South Africa;ZAF;4;3;2;2;2;-1;0;-1;0;-1;0;0;0;0;0;0;0;-2;0;18;17
47;USA;USA;4;1;2;2;0;1;0;0;1;-1;0;0;0;0;-1;0;0;-1;0;0;1
47;Virgin Islands;VIR;4;3;2;2;2;-1;0;-1;0;-1;0;0;0;0;0;-1;0;-1;0;8;6
52;Cyprus;CYP;3;1;1;0;3;-1;0;1;0;-1;0;0;0;0;0;-1;0;0;0;18;8
52;Czech Republic;CZE;3;2;1;1;2;-1;0;-1;0;-1;0;0;0;0;0;0;0;0;0;15;4
52;Guam;GUM;3;1;2;2;1;-1;0;-1;0;-1;0;0;0;0;0;0;0;0;0;30;13
52;Thailand;THA;3;2;2;2;-1;-1;0;-1;1;0;0;0;0;0;0;0;0;-1;0;27;9
56;Croatia;HRV;2;2;1;2;2;-1;0;-1;0;-1;0;0;0;0;0;-2;0;0;0;14;6
56;Liechtenstein;LIE;2;1;2;2;0;-1;0;-1;0;-1;0;0;0;0;0;0;0;0;0;16;4
56;San Marino;SMR;2;3;1;1;0;-1;0;-1;0;0;0;0;0;0;0;-1;0;0;0;14;7
59;Curacao;CUW;-1;1;2;0;0;-1;0;-1;0;-1;0;0;0;0;0;-1;0;0;0;4;5
59;Italy;ITA;-1;1;1;0;1;-1;0;-1;0;-1;0;0;0;0;0;-1;0;0;0;13;6
59;Japan;JPN;-1;1;0;0;1;-1;0;-1;0;0;0;0;0;0;0;-1;0;0;0;28;4
59;Latvia;LVA;-1;1;1;0;1;-1;0;-1;0;0;0;0;0;0;0;-2;0;0;0;17;2
59;Lithuania;LTU;-1;2;1;-1;2;-1;0;-1;0;-1;0;0;0;0;0;-2;0;0;0;16;3
59;Montenegro;MNE;-1;2;1;0;1;-1;0;-1;0;-1;0;0;0;0;0;-2;0;0;0;15;7
59;Poland;POL;-1;1;0;0;2;-1;0;-1;0;-1;0;0;0;0;0;-1;0;0;0;15;3
59;Vietnam;VNM;-1;0;-1;0;1;-1;0;1;0;0;0;-1;0;0;0;0;0;0;0;28;8
67;Bermuda;BMU;-2;1;1;2;-1;-1;-1;-1;0;0;0;-1;0;0;0;-1;0;0;0;3;1
67;Bosnia-Herzegovina;BIH;-2;2;-1;0;1;-1;0;-1;0;0;0;-1;0;0;0;-1;0;0;0;15;6
67;Korea South;KOR;-2;0;0;-1;3;-1;0;-1;0;-1;0;0;0;0;0;-1;0;0;0;26;4
67;North Cyprus;CYP;-2;1;0;0;1;-1;0;-1;0;-1;0;0;0;0;0;-1;0;0;0;18;8
67;Romania;ROU;-2;2;0;0;1;-1;0;-1;0;-1;0;0;0;0;0;-2;0;0;0;17;5
67;St. Maarten;SXM;-2;1;0;0;0;-1;0;-1;0;-1;0;0;0;0;0;0;0;0;0;8;3
67;Suriname;SUR;-2;1;0;0;0;1;0;-1;0;-1;0;0;0;0;0;-2;0;0;0;6;9
74;Albania;ALB;-3;2;-1;0;0;-1;0;1;0;-1;0;-1;0;0;0;-2;0;0;0;15;8
74;Antigua & Barbuda;ATG;-3;3;0;0;-1;-1;0;-1;0;0;-1;0;0;0;0;-2;0;0;0;7;3
74;Barbados;BRB;-3;1;0;0;-1;-1;0;-1;0;-1;0;0;0;0;0;0;0;0;0;8;5
74;Bhutan;BTN;-3;0;-1;0;2;-1;0;-1;0;1;-1;-1;0;0;0;-1;0;0;0;25;8
74;Botswana;BWA;-3;3;-1;0;0;-1;0;-1;0;-1;0;-1;0;0;0;-1;0;0;0;17;15
74;British Virgin Islands;VGB;-3;3;-1;0;-1;-1;0;-1;0;0;0;-1;0;0;0;-1;0;0;0;8;4
74;Fiji;FJI;-3;3;-1;0;-1;-1;0;0;0;-1;0;-1;0;0;0;-1;0;0;0;30;18
74;Lesotho;LSO;-3;1;-1;0;2;-1;0;-1;0;0;0;-1;0;0;0;-2;0;0;0;19;16
74;Monaco;MCO;-3;0;1;0;0;-1;0;-1;0;-1;0;0;0;0;0;-1;0;0;0;12;7
74;Namibia;NAM;-3;1;0;-1;1;-1;0;-1;0;-1;0;0;0;0;0;-1;0;0;0;17;16
74;Serbia;SRB;-3;2;-1;0;2;-1;0;-1;0;-1;0;-1;0;0;0;-2;0;0;0;16;6
74;Singapore;SGP;-3;1;-1;0;1;-1;0;1;0;0;-1;-1;0;0;-1;-1;0;0;0;28;11
74;Ukraine;UKR;-3;1;-1;0;2;-1;0;-1;0;-1;0;-1;0;0;0;-1;0;0;0;19;4
87;Belize;BLZ;-4;3;-1;0;0;-1;0;-1;0;-1;-1;-1;0;0;0;-1;0;0;0;1;2
87;Cabo Verde;CPV;-4;1;-1;0;-1;-1;0;-1;0;0;0;-1;0;0;0;0;0;0;0;11;12
87;Cambodia;KHM;-4;0;0;0;-1;-1;0;-1;0;0;0;0;0;0;0;-1;0;0;0;28;9
87;Micronesia;FSM;-4;2;-1;0;-1;-1;0;-1;0;-1;0;0;0;0;0;-1;0;0;0;30;15
87;Moldova;MDA;-4;2;-1;0;2;-1;0;-1;0;-1;0;-1;0;0;-1;-2;0;0;0;18;4
87;Mongolia;MNG;-4;2;-1;-1;1;-1;0;-1;0;0;0;-1;0;0;0;-2;0;0;0;25;3
87;North Macedonia;MKD;-4;2;-1;0;1;-1;0;-1;0;-1;0;-1;0;0;0;-2;0;0;0;17;7
87;Peru;PER;-4;1;-1;0;2;-1;0;1;0;-2;0;-1;0;0;0;-1;0;-2;0;4;9
87;Seychelles;SYC;-4;1;-1;0;-1;-1;0;-1;0;0;0;-1;0;0;0;0;0;0;0;20;14
87;Slovakia;SVK;-4;2;0;-1;1;-1;0;-1;0;-1;-1;0;0;0;0;-2;0;0;0;17;4
97;China incl. Hong Kong;CHN;-5;0;0;-1;1;-1;0;-1;0;0;0;0;0;-1;-1;0;-1;0;0;24;4
97;East Timor;TLS;-5;1;-1;0;-1;-1;0;-1;0;1;-1;-1;0;0;0;-1;0;0;0;30;11
97;Kosovo;XKX;-5;3;-1;0;0;-1;0;-1;0;-2;0;-1;0;0;0;-2;0;0;0;16;7
97;Macao;MAC;-5;1;-1;0;-1;-1;0;-1;0;0;0;-1;0;0;0;-1;0;0;0;25;5
97;Marshall Islands;MHL;-5;2;-1;-1;-1;-1;0;-1;0;0;-1;-1;0;0;0;0;0;0;0;30;14
97;Mauritius;MUS;-5;1;-1;0;-1;1;0;-1;0;-1;-1;-1;0;0;0;-1;0;0;0;21;16
97;Samoa;WSM;-5;1;-1;0;-1;-1;0;1;0;-1;0;-1;-1;0;0;-1;0;0;0;31;17
104;Armenia;ARM;-6;0;-1;0;1;-1;0;-1;0;-1;0;-1;0;0;0;-2;0;0;0;20;4
104;Bulgaria;BGR;-6;2;0;0;-1;-1;0;-1;0;-1;0;0;0;-1;-1;-2;0;0;0;17;6
104;Cook Islands;COK;-6;1;-1;0;0;-1;0;-1;0;-1;-1;-1;0;0;0;-1;0;0;0;28;17
104;Panama;PAN;-6;0;-1;0;1;-1;0;-1;0;-1;0;-1;0;0;-1;-1;0;0;0;3;7
104;Sao Tome and Principe;STP;-6;1;-1;0;-1;-1;0;-1;0;-1;0;-1;0;0;0;-1;0;0;0;12;13
104;Sri Lanka;LKA;-6;1;-1;-1;2;-1;0;-1;0;0;-1;-1;-1;0;0;-2;0;0;0;23;9
110;Angola;AGO;-7;1;-1;0;0;-1;0;-1;0;-1;-1;-1;0;0;0;-2;0;0;0;15;14
110;El Salvador;SLV;-7;2;-1;0;0;-1;0;-1;0;-1;0;-1;0;0;-1;-2;0;-1;0;0;4
110;Guinea-Bissau;GNB;-7;1;-1;0;-1;-1;0;-1;0;-1;0;-1;0;0;0;-2;0;0;0;12;11
110;Honduras;HND;-7;2;-1;0;-1;-1;0;-1;0;-1;0;-1;0;0;0;-2;0;-1;0;1;4
110;Laos;LAO;-7;0;-1;-1;-1;-1;0;-1;0;0;0;-1;0;0;0;-1;0;0;0;27;9
110;Mozambique;MOZ;-7;0;-1;0;0;-1;0;-1;0;-1;0;-1;0;0;-1;-1;0;0;0;18;14
110;Saint Kitts and Nevis;KNA;-7;0;0;0;-1;-1;0;-1;0;-1;-1;0;0;0;0;-2;0;0;0;6;4
110;Saint Lucia;LCA;-7;1;-1;0;-1;-1;0;-1;0;-1;0;-1;0;0;0;-2;0;0;0;7;4
110;Venezuela;VEN;-7;1;-1;0;0;-1;0;-1;0;-1;0;-1;0;0;0;0;-1;-2;0;5;8
119;Benin;BEN;-8;0;-1;0;-1;-1;-1;-1;0;0;0;-1;0;0;0;-2;0;0;0;16;12
119;Kiribati;KIR;-8;1;-1;0;-1;-1;0;-1;0;-1;-1;-1;-1;0;0;-1;0;0;0;31;16
119;Palau;PLW;-8;0;-1;0;-1;-1;0;-1;0;-1;0;-1;0;0;0;-2;0;0;0;29;15
119;Philippines;PHL;-8;0;-1;0;-1;-1;0;-1;0;0;-1;-1;0;0;-1;0;0;-1;0;29;9
123;Dominican Republic;DOM;-9;3;-1;-1;-1;-1;0;-1;0;-2;0;-1;0;0;0;-2;0;-2;0;6;3
123;Ethiopia;ETH;-9;0;-1;0;2;-1;0;-1;0;-2;0;-1;-1;0;-2;-1;-1;0;0;18;12
123;Gabon;GAB;-9;0;-1;0;-1;-1;-1;-1;0;-1;0;-1;0;0;0;-2;0;0;0;16;14
123;Guinea;GIN;-9;0;-1;0;-1;-1;0;-1;0;-1;0;-1;-1;0;0;-1;-1;0;0;12;12
123;Hungary;HUN;-9;1;1;-1;-1;-1;0;-1;0;0;-1;-1;0;-1;-2;-1;-1;0;0;16;5
123;Nicaragua;NIC;-9;1;-1;-1;-1;-1;0;-1;0;-1;0;-1;0;0;0;-1;-1;-1;0;1;5
123;Pakistan;PAK;-9;0;-1;-1;3;1;0;-1;0;-2;0;-1;-1;0;-1;-2;-1;-1;-1;23;7
123;Tuvalu;TUV;-9;1;-1;0;-1;-1;0;-1;0;-1;-1;-1;-1;0;0;-2;0;0;0;30;17
123;Vanuatu;VUT;-9;0;-1;0;-1;-1;0;-1;0;-1;-1;-1;0;0;0;-2;0;0;0;29;18
132;Bahamas;BHS;-10;0;-1;0;-1;-1;-1;-1;0;-1;0;-1;0;0;0;-2;0;-1;0;4;1
132;Bahrain;BHR;-10;0;-1;0;1;-1;0;-1;0;-2;-1;-1;0;0;-2;-1;-1;0;0;20;8
132;Bangladesh;BGD;-10;0;-1;0;1;1;0;-1;0;-2;0;-1;-1;0;-1;-2;-2;-1;0;25;9
132;Belarus;BLR;-10;0;-1;0;2;-1;0;-1;0;-1;0;-1;0;-1;-2;-2;-2;0;0;17;3
132;Central African Rep.;CAF;-10;0;-1;0;-1;-1;0;-1;0;-2;0;-1;0;0;-1;-2;0;0;0;17;12
132;Equatorial Guinea;GNQ;-10;1;-1;0;-1;-1;0;-1;0;-2;-1;-1;0;0;-1;-1;-1;0;0;15;13
132;Eswatini;SWZ;-10;0;-1;0;2;-1;0;-1;0;-2;0;-1;-1;0;-1;-2;0;-2;0;18;16
132;Grenada;GRD;-10;0;-1;0;-1;-1;0;-1;0;-1;-1;-1;-1;0;0;-2;0;0;0;7;7
132;Guatemala;GTM;-10;0;-1;0;-1;-1;0;-1;0;-1;0;-1;0;0;0;-2;0;-2;0;0;3
132;Haiti;HTI;-10;0;-1;0;-1;-1;0;-1;0;-2;0;-1;0;0;0;-2;0;-1;0;5;3
132;Ivory Coast;CIV;-10;0;-1;0;0;-1;-1;-1;0;-2;0;-1;0;0;-1;-2;0;0;0;13;12
132;Kazakhstan;KAZ;-10;0;-1;-1;1;-1;0;-1;0;0;-1;-1;0;-1;-2;-2;0;0;0;23;3
132;Korea North;PRK;-10;0;-1;-1;-1;-1;0;-1;0;0;0;-1;0;-1;-2;-1;0;0;0;26;3
132;Lebanon;LBN;-10;0;-1;0;1;-1;0;-1;0;-1;0;-1;-1;-1;-1;-2;-1;0;0;19;8
132;Paraguay;PRY;-10;0;-1;0;-1;-1;-1;1;0;-1;-1;-1;0;0;-1;-2;0;-1;0;5;10
132;Rwanda;RWA;-10;0;-1;0;-1;-1;0;-1;0;-2;0;-1;0;0;-1;-2;0;0;0;18;13
132;Solomon Islands;SLB;-10;0;-1;0;-1;-1;0;-1;0;-2;0;-1;-1;0;0;-2;0;0;0;29;17
132;Tonga;TON;-10;0;-1;0;-1;-1;0;-1;0;-1;-1;-1;-1;0;0;-2;0;0;0;31;18
132;Trinidad & Tobago;TTO;-10;0;-1;0;-1;-1;0;-1;0;-1;0;-1;-1;0;0;-2;0;-1;0;6;8
132;Vatican City;VAT;-10;0;-1;-1;-1;-1;0;-1;0;-2;0;-1;0;0;0;-1;-1;0;0;13;7
152;Chad;TCD;-11;0;-1;0;-1;-1;0;-1;0;-2;0;-1;-1;0;0;-2;-1;0;0;15;11
152;Comoros Islands;COM;-11;0;-1;-1;-1;-1;0;-1;0;-2;0;-1;-1;0;0;-2;0;0;0;19;15
152;Dem.Rep. of Congo;COD;-11;0;-1;0;-1;-1;0;-1;0;-2;0;-1;0;0;-1;-2;-1;0;0;17;12
152;Dominica;DMA;-11;0;-1;0;-1;-1;0;-1;0;-2;-1;-1;0;0;0;-2;-1;0;0;7;6
152;Gambia;GMB;-11;0;-1;0;-1;-1;0;-1;0;-2;0;-1;-1;0;0;-2;-1;0;0;12;10
152;Guyana;GUY;-11;0;-1;-1;-1;-1;0;-1;0;-1;0;-1;-1;0;0;-2;-1;0;0;5;9
152;Jamaica;JAM;-11;0;-1;0;-1;-1;0;-1;0;-1;0;-1;-1;0;0;-2;0;-2;0;4;3
152;Madagascar;MDG;-11;0;-1;-1;-1;-1;-1;-1;0;-1;0;-1;0;0;0;-2;0;-1;0;20;16
152;Niger;NER;-11;0;-1;0;-1;-1;-1;-1;0;-1;0;-1;0;0;0;-2;-2;0;0;15;10
152;Republic of the Congo;COG;-11;1;-1;-1;-1;-1;-1;-1;0;-2;0;-1;0;0;0;-2;-1;0;0;16;13
152;Saint Vincent and the Grenadines;VCT;-11;0;-1;0;-1;-1;0;-1;0;-2;0;-1;-1;0;0;-2;0;-1;0;7;5
152;Grenadines Sierra Leone;SLE;-11;0;-1;0;-1;-1;0;-1;0;-2;0;-1;-1;0;0;-2;-1;0;0;13;11
152;Tajikistan;TJK;-11;0;-1;0;1;-1;0;-1;0;-2;-1;-1;0;0;-1;-2;-2;0;0;23;5
152;Togo;TGO;-11;0;-1;0;-1;-1;0;0;0;-2;0;-1;-1;0;-1;-2;-1;0;0;15;12
152;Turkey;TUR;-11;0;-1;0;1;-1;0;-1;0;-1;0;0;-1;-1;-2;-2;-1;-1;0;19;6
152;Uzbekistan;UZB;-11;0;-1;0;2;-1;0;-1;0;-2;0;-1;-1;-1;-2;-2;-1;0;0;22;4
168;Georgia (Europe);GEO;-12;2;-1;-1;-1;-1;0;-1;0;-2;0;-1;0;-1;-2;-2;0;-1;0;20;3
168;Ghana;GHA;-12;0;-1;0;-1;-1;0;-1;0;-2;0;-1;-1;0;-1;-2;-1;0;0;14;12
168;Indonesia;IDN;-12;0;-1;-1;1;-1;0;-1;0;-2;0;-1;-1;0;-2;-2;-1;0;0;29;11
168;Kenya;KEN;-12;0;-1;-1;0;1;0;-1;0;-1;0;-1;-1;-1;-2;-2;-1;-1;0;19;12
168;Kyrgyzstan;KGZ;-12;0;-1;-1;-1;-1;0;-1;0;-1;-1;-1;0;0;-1;-2;-1;0;0;23;4
168;Liberia;LBR;-12;0;-1;0;-1;-1;0;-1;0;-2;-1;-1;-1;0;0;-2;-1;0;0;13;12
168;Maldives;MDV;-12;0;-1;0;-1;-1;0;-1;0;-2;-1;-1;-1;0;0;-2;-1;0;0;22;10
168;Myanmar;MMR;-12;0;-1;0;-1;-1;0;-1;0;0;0;-1;-1;-1;-1;-1;-2;-1;0;26;9
176;Azerbaijan;AZE;-13;0;-1;0;0;-1;0;-1;0;-1;-1;-1;0;-1;-2;-2;-2;0;0;21;4
176;Burundi;BDI;-13;0;-1;-1;-1;-1;0;-1;0;-2;0;-1;-1;0;-1;-2;-1;0;0;17;13
176;Djibouti;DJI;-13;0;-1;-1;-1;-1;0;-1;0;-2;-1;-1;0;0;-1;-2;-1;0;0;18;11
176;Malawi;MWI;-13;0;-1;0;-1;-1;0;-1;0;-2;0;-1;-1;0;-1;-2;-1;-1;0;17;14
176;Mauritania;MRT;-13;0;-1;0;-1;-1;0;-1;0;-2;0;-1;-1;0;-1;-2;-1;0;-1;11;10
176;Papua New Guinea;PNG;-13;0;-1;-1;-1;-1;0;-1;0;-2;-1;-1;-1;0;0;-2;-1;0;0;29;16
176;Zambia;ZMB;-13;0;-1;0;-1;-1;0;-1;0;-2;0;-1;-1;0;-1;-2;-2;0;0;16;15
183;Algeria;DZA;-14;0;-1;0;-1;-1;0;-1;0;-2;0;-1;-1;-1;-2;-1;-2;0;0;13;9
183;Burkina Faso;BFA;-14;0;-1;-1;0;-1;0;-1;0;-2;0;-1;-1;-1;-2;-2;-1;0;0;14;11
183;Cameroon;CMR;-14;0;-1;0;-1;-1;0;-1;0;0;0;-1;-1;-1;-2;-2;-1;-2;0;16;12
183;Eritrea;ERI;-14;0;-1;0;-1;-1;0;-1;0;-2;0;-1;-1;-1;-2;-2;-1;0;0;17;11
183;Mali;MLI;-14;0;-1;-1;-1;-1;0;-1;0;-2;0;-1;-1;0;-1;-2;-1;-1;0;14;10
183;Morocco;MAR;-14;0;-1;0;-1;1;0;-1;0;-2;0;-1;-1;-1;-2;-2;-2;-1;0;12;9
183;Tunisia;TUN;-14;0;-1;-1;-1;-1;0;-1;0;-1;0;-1;-1;0;-1;-2;-2;-1;0;14;9
190;Brunei;BRN;-15;0;-1;0;-1;-1;0;-1;0;-2;-1;-1;-1;-1;-2;-2;0;0;-1;29;10
190;Indonesia/Aceh;IDN;-15;0;-1;0;-1;-1;0;-1;0;-2;0;-1;-1;0;-2;-2;-2;0;-1;29;11
190;Jordan;JOR;-15;0;-1;-1;0;-1;0;-1;0;-2;-1;-1;0;-1;-2;-2;-1;-1;0;19;7
190;Oman;OMN;-15;0;-1;0;-1;-1;0;-1;0;-2;-1;-1;-1;-1;-2;-2;-1;0;0;20;9
190;Syria;SYR;-15;0;-1;0;-1;-1;0;-1;0;-2;-1;-1;-1;0;0;-2;-2;-1;-1;19;6
195;Egypt;EGY;-16;0;-1;-1;-1;-1;0;-1;0;-2;-1;-1;-1;0;-1;-2;-2;-1;0;16;9
195;Kuwait;KWT;-16;0;-1;0;-1;-1;0;-1;0;-2;-1;-1;-1;-1;-2;-2;-2;0;0;19;7
195;Libya;LBY;-16;0;-1;0;-1;-1;0;-1;0;-2;0;-1;-1;-1;-1;-2;-1;-2;-1;15;9
195;Malaysia;MYS;-16;0;-1;0;-1;-1;0;-1;0;-2;-1;-1;-1;-1;-2;-2;-1;-1;0;27;10
195;Senegal;SEN;-16;0;-1;-1;-1;-1;0;-1;0;-2;0;-1;-1;-1;-1;-2;-2;-1;0;13;10
195;Sudan;SDN;-16;0;-1;0;-1;-1;0;-1;0;-2;-1;-1;-1;-1;-1;-2;-1;-2;0;16;10
195;Zimbabwe;ZWE;-16;0;-1;0;-1;-1;0;-1;0;-2;0;-1;-1;-1;-2;-2;-2;-1;0;18;15
202;Nigeria;NGA;-17;0;-1;0;-1;-1;0;-1;0;-1;0;-1;-1;-1;-2;-2;-2;0;-3;15;12
202;Qatar;QAT;-17;0;-1;-1;-1;-1;0;-1;0;-2;-1;-1;-1;-1;-2;-2;-1;0;-1;19;9
202;Russia;RUS;-17;0;-1;0;0;-1;0;-1;0;-2;-1;-1;-1;-1;-2;-2;-2;-2;0;19;3
202;South Sudan;SSD;-17;0;-1;0;-1;-1;0;-1;0;-2;0;-1;-1;-1;-2;-2;-2;-2;0;16;11
202;Tanzania;TZA;-17;0;-1;-1;-1;-1;0;-1;0;-2;0;-1;-1;-1;-2;-2;-2;-1;0;19;13
202;Turkmenistan;TKM;-17;0;-1;0;-1;-1;0;-1;0;-2;-1;-1;-1;-1;-2;-2;-2;-1;0;22;6
208;Iraq;IRQ;-18;0;-1;0;-1;-1;0;-1;0;-2;-1;-1;-1;-1;-2;-2;-2;-2;0;20;6
208;United Arab Emirates;ARE;-18;0;-1;0;-1;-1;0;-1;0;-2;-1;-1;-1;-1;-2;-2;-2;-1;-1;20;9
210;Uganda;UGA;-19;0;-1;0;-1;-1;0;-1;0;-2;0;-1;-1;-1;-2;-2;-2;-1;-3;18;12
211;Somalia;SOM;-21;0;-1;0;-1;-1;0;-1;0;-2;0;-1;-1;-1;-1;-2;-2;-2;-5;19;11
212;Afghanistan;AFG;-22;0;-1;0;-1;-1;0;-1;0;-2;0;-1;-1;-1;-2;-2;-2;-2;-5;22;7
212;Chechnya;RU-CE;-22;0;-1;0;-1;-1;0;-1;0;-2;0;-1;-1;-1;-2;-2;-2;-2;-5;19;3
212;Saudi Arabia;SAU;-22;0;-1;-1;0;-1;0;-1;0;-2;-1;-1;-1;-1;-2;-2;-2;-1;-5;19;8
215;Iran;IRN;-23;0;-1;-1;0;-1;0;-1;0;-2;-1;-1;-1;-1;-2;-2;-2;-2;-5;21;6
216;Yemen;YEM;-24;0;-1;-1;-1;-1;0;-1;0;-2;-1;-1;-1;-1;-2;-2;-2;-2;-5;19;10
